wave_vac,wave_err,wn,int,wave_vac_pre,ID,closest_dist,closest_R,wave_air
4494.827341,0.000129,22247.79561,25730,4494.827465,ThI,0.5050759999994625,8899.308898076297,4493.566724463092
4495.951736,0.000129,22242.23165,15536,4495.951625,ThI,0.2714219999998022,16564.433745250113,4494.690822773427
4497.899731,0.000268,22232.59876,3972,4497.899521,NoID,0.21747400000003836,20682.471150570676,4496.638303750514
4499.800996,0.000125,22223.205,65851,4499.799761,ArII,0.7230730000001131,6223.162800988692,4498.53906704229
4500.96552,0.000126,22217.45525,5282,4500.965955,ThI,0.2711490000001504,16599.60213756091,4499.703283738381
4505.894075,0.000121,22193.15375,8507,4505.894147,ThI,0.5859590000000026,7689.7770577804595,4504.630538086084
4508.682553,0.000152,22179.42799,9116,4508.682815,NoID,0.34200499999951717,13183.089583504232,4507.418280155961
4509.793004,0.000119,22173.96672,3915,?,,0.36547299999983807,12339.606493508407,4508.528438078282
4516.89394,0.000139,22139.10739,6009,4516.893897,ThI,0.230040999999801,19635.16912204306,4515.62749982484
4519.609377,0.00014,22125.80594,4098,4519.609692,ThI,0.45777600000019447,9872.97144672958,4518.342220042227
4525.397355,0.000157,22097.50706,12282,4525.397633,ThI,0.6673689999997805,6780.952299254967,4524.128670107488
4526.107298,0.000132,22094.04095,10007,4526.106756,ThII,0.25189599999976053,17968.158676613773,4524.838425683817
4526.714712,0.000134,22091.07628,3387,4526.714687,ThI,0.2585369999997056,17508.962786777734,4525.445679325898
4531.193482,0.00013,22069.24079,4231,4531.194773,NoID,0.3958620000003066,11446.39667863167,4529.923266877124
4532.983982,0.000127,22060.52357,6143,4532.984141,ThII,0.33391500000016094,13575.263111863243,4531.713294139687
4535.674124,0.000125,22047.43931,5393,4535.673942,ThI,0.28372399999989284,15986.219438615391,4534.402725848165
4537.251348,0.000123,22039.77526,22590,4537.251669,ThI,0.222208999999566,20418.845987376124,4535.979533391532
4538.914504,0.000122,22031.69941,33617,4538.914156,ArII,0.4974740000006932,9123.923067323469,4537.64225023358
4543.324532,0.000163,22010.3141,3396,4543.324697,ThI,0.5478539999994609,8292.94763204151,4542.051113704456
4545.787588,0.000146,21998.38819,26945,4545.788248,ThII,0.869764000000032,5226.4609572249865,4544.5135192643975
4549.034085,0.000144,21982.68866,50366,4549.033146,ArII,0.5093679999999949,8930.741791789129,4547.759158895208
4551.109818,0.000142,21972.66249,6094,4551.109568,ThI,0.34988700000030803,13007.370431013422,4549.834343690395
4560.336543,0.000133,21928.20619,8081,4560.335001,ThI,0.253444999999374,17993.3971591914,4559.058631676313
4560.589988,0.000133,21926.98757,11762,4560.590024,ThI,0.253444999999374,17994.3971591914,4559.312009729963
4563.75321,0.000131,21911.78957,7394,4563.754412,ThI,0.22466799999983778,20313.32103371773,4562.474396156606
4565.458982,0.00013,21903.60277,4711,4565.457517,ThII,0.22616399999969872,20186.4973293985,4564.17971755513
4566.488399,0.000301,21898.66507,3250,?,,0.3736479999997755,12221.36449011568,4565.208862615599
4569.422683,0.000125,21884.6027,50744,4569.422934,ThI,0.3809799999999086,11993.864987666271,4568.142371446023
4569.803663,0.000125,21882.77821,14102,4569.803936,ThI,0.3809799999999086,11994.864987666271,4568.523250797343
4570.428198,0.000124,21879.78799,27296,4570.428301,ThI,0.4228180000000066,10809.44566692981,4569.147620804113
4571.372713,0.000125,21875.26729,4028,?,,0.35720299999957206,12797.688465677715,4570.091886273657
4572.499978,0.000123,21869.87435,47280,4572.500658,ThI,0.24675800000022718,18530.30085345071,4571.218853457819
4572.812827,0.000124,21868.37813,5651,4572.812393,NoID,0.31284899999991467,14616.677141372506,4571.531619804281
4573.239096,0.000123,21866.33979,10748,4573.239219,ThI,0.4262690000005023,10728.528455023967,4571.957776184949
4574.173762,0.000123,21861.87172,7573,?,,0.6787289999992936,6739.322707597231,4572.892195245613
4575.308878,0.000121,21856.44787,14883,4575.309836,ThI,0.2525340000001961,18117.595563355615,4574.027011342398
4575.587231,0.000121,21855.11825,8134,4575.587765,ThI,0.2783530000006067,16438.07406778453,4574.305290799355
4576.708212,0.000159,21849.76524,3844,4576.708115,ThII,0.8489420000005339,5391.072902503494,4575.425975624152
4584.938805,0.000152,21810.54192,3324,4584.938830,ThII,0.22014000000035594,20827.37714632773,4583.65439385442
4585.158945,0.000152,21809.49476,3426,4585.159021,NoID,0.22014000000035594,20828.37714632773,4583.874475682996
4585.93731,0.00015,21805.79307,12225,4585.936504,NoID,0.2849310000001424,16094.90476640909,4584.652635000466
4587.554986,0.000155,21798.10385,3177,4587.557438,ThII,0.40521499999977095,11321.286196223222,4586.269883522506
4590.407456,0.000161,21784.55855,9875,4590.408120,ThII,0.6953649999995832,6601.435873250381,4589.121599718702
4593.554813,0.000136,21769.63247,4368,4593.553709,NoID,0.3984100000006947,11529.717660179187,4592.2681249484
4599.725077,0.000131,21740.42977,4953,4599.723886,ThI,0.3262770000001183,14097.607483819984,4598.436758179718
4600.993402,0.000128,21734.43673,25850,4600.993303,ThI,0.3516779999999926,13082.971928867022,4599.704747948835
4602.161944,0.000129,21728.91811,7549,4602.160738,ThI,1.0685859999994136,4306.777315071062,4600.872981085813
4604.175895,0.000126,21719.41348,12576,4604.175700,ThII,0.257434999999532,17884.809349965508,4602.886399755636
4604.657993,0.000127,21717.1395,4401,4604.658269,ThI,0.22466299999996409,20495.844856521704,4603.368370324423
4608.667809,0.000122,21698.2443,18024,4608.668743,ThI,0.2858519999999771,16122.56625456659,4607.377126387921
4611.368155,0.000164,21685.53814,7179,4611.372331,ThI,0.38015600000017,12130.199589110622,4610.0767585542
4612.536158,0.000161,21680.04685,24059,4612.534764,ArII,0.5143820000002961,8967.141459066112,4611.244452784697
4613.835977,0.000154,21673.9391,25106,4613.835531,ThI,0.6850699999995413,6734.838742030871,4612.543928162292
4616.317024,0.000147,21662.29041,60458,4616.316770,ThI,0.3098740000004909,14897.400311070585,4615.024319249567
4617.745579,0.000148,21655.58892,9377,4617.745456,ThI,0.5687510000007023,8119.098830585437,4616.452496572243
4619.200086,0.000148,21648.76995,3264,4619.199968,NoID,0.42021500000009837,10992.468345963181,4617.906619025403
4622.952632,0.000155,21631.19719,4737,4622.949938,ThI,0.4632389999997031,9979.627432066307,4621.658172877187
4623.415871,0.000145,21629.02988,7915,4623.415545,NoID,0.4632389999997031,9980.627432066307,4622.1212893959755
4625.974139,0.000152,21617.06853,6097,4625.972862,NoID,0.3646259999995891,12686.901479886823,4624.678880969982
4626.348499,0.000154,21615.3193,4364,4626.349163,ThII,0.22197400000004563,20841.848590371163,4625.0531419840945
4628.594035,0.000135,21604.83275,59291,4628.593960,ThI,0.9040390000000116,5119.905264042747,4627.298084222066
4631.065873,0.000136,21593.30114,3210,4631.065667,ThII,0.39577099999951315,11701.37749609167,4629.769268598363
4646.007564,0.000121,21523.85648,34770,4646.007753,ThI,0.6661470000008194,6974.447928151421,4644.707008079502
4647.98655,0.000159,21514.69221,60300,4647.987156,ThI,0.2921650000007503,15908.772611326009,4646.685470645809
4648.792064,0.000161,21510.96427,13776,?,,0.24064200000066194,19318.290506176032,4647.490771586263
4651.279346,0.000154,21499.46124,15798,4651.279657,ThI,0.2572860000000219,18078.245011386567,4649.977395680783
4652.680776,0.000149,21492.9854,4790,?,,0.26105199999983597,17822.81222133109,4651.37845498098
4653.291867,0.000148,21490.16285,36879,4653.292029,ThII,0.42844400000012683,10860.91033366933,4651.989384335605
